Date,Beer,DayOfWeek,UnitsSold,IsWeekend,HolidayEffect,PromoLevel
2021-01-01,Ale,4,19,0,0,0
2021-01-01,Lager,4,41,0,0,0
2021-01-01,IPA,4,36,0,0,0
2021-01-01,Stout,4,25,0,0,0
2021-01-01,Cider,4,27,0,0,0
2021-01-02,Ale,5,32,1,0,0
2021-01-02,Lager,5,42,1,0,0
2021-01-02,IPA,5,53,1,0,0
2021-01-02,Stout,5,25,1,0,0
2021-01-02,Cider,5,38,1,0,0
2021-01-03,Ale,6,31,1,0,0
2021-01-03,Lager,6,58,1,0,0
2021-01-03,IPA,6,49,1,0,0
2021-01-03,Stout,6,25,1,0,0
2021-01-03,Cider,6,38,1,0,0
2021-01-04,Ale,0,29,0,0,0
2021-01-04,Lager,0,34,0,0,0
2021-01-04,IPA,0,34,0,0,0
2021-01-04,Stout,0,18,0,0,0
2021-01-04,Cider,0,31,0,0,0
2021-01-05,Ale,1,38,0,0,0
2021-01-05,Lager,1,45,0,0,0
2021-01-05,IPA,1,46,0,0,1
2021-01-05,Stout,1,30,0,0,1
2021-01-05,Cider,1,24,0,0,0
2021-01-06,Ale,2,17,0,0,0
2021-01-06,Lager,2,33,0,0,0
2021-01-06,IPA,2,30,0,0,0
2021-01-06,Stout,2,22,0,0,0
2021-01-06,Cider,2,34,0,0,0
2021-01-07,Ale,3,23,0,0,0
2021-01-07,Lager,3,36,0,0,0
2021-01-07,IPA,3,37,0,0,1
2021-01-07,Stout,3,25,0,0,0
2021-01-07,Cider,3,35,0,0,0
2021-01-08,Ale,4,20,0,0,0
2021-01-08,Lager,4,46,0,0,1
2021-01-08,IPA,4,34,0,0,0
2021-01-08,Stout,4,27,0,0,0
2021-01-08,Cider,4,31,0,0,0
2021-01-09,Ale,5,33,1,0,0
2021-01-09,Lager,5,55,1,0,0
2021-01-09,IPA,5,41,1,0,0
2021-01-09,Stout,5,33,1,0,0
2021-01-09,Cider,5,51,1,0,1
2021-01-10,Ale,6,27,1,0,0
2021-01-10,Lager,6,54,1,0,0
2021-01-10,IPA,6,46,1,0,0
2021-01-10,Stout,6,38,1,0,1
2021-01-10,Cider,6,60,1,0,1
2021-01-11,Ale,0,31,0,0,0
2021-01-11,Lager,0,52,0,0,1
2021-01-11,IPA,0,33,0,0,0
2021-01-11,Stout,0,18,0,0,0
2021-01-11,Cider,0,16,0,0,0
2021-01-12,Ale,1,26,0,0,0
2021-01-12,Lager,1,42,0,0,0
2021-01-12,IPA,1,34,0,0,0
2021-01-12,Stout,1,15,0,0,0
2021-01-12,Cider,1,46,0,0,1
2021-01-13,Ale,2,32,0,0,1
2021-01-13,Lager,2,31,0,0,0
